symbol	section	namespace	name	GMSJ01	GMSJ01.size	GMSE01	GMSE01.size	GMSP01	GMSP01.size	GMSJ0A	GMSJ0A.size
@1646	.rodata	Enemy	@1646	803A01F4	14	8038212C	14	80379B94	14	80372504	14
@1648	.rodata	Enemy	@1648	803A0204	17	8038213C	17	80379BA4	17	80372514	17
@1650	.rodata	Enemy	@1650	803A0218	17	80382150	17	80379BB8	17	80372528	17
@1652	.rodata	Enemy	@1652	803A022C	21	80382164	21	80379BCC	21	8037253C	21
@1654	.rodata	Enemy	@1654	803A0244	21	8038217C	21	80379BE4	21	80372554	21
@1656	.rodata	Enemy	@1656	803A025C	22	80382194	22	80379BFC	22	8037256C	22
@1657	.rodata	Enemy	@1657	803A0274	18	803821AC	18	80379C14	18	80372584	18
@1658	.rodata	Enemy	@1658	803A0288	21	803821C0	21	80379C28	21	80372598	21
@1660	.rodata	Enemy	@1660	803A02A0	20	803821D8	20	80379C40	20	803725B0	20
@1661	.rodata	Enemy	@1661	803A02B4	27	803821EC	27	80379C54	27	803725C4	27
@1662	.rodata	Enemy	@1662	803A02D0	18	80382208	18	80379C70	18	803725E0	18
@1664	.rodata	Enemy	@1664	803A02E4	20	8038221C	20	80379C84	20	803725F4	20
@1666	.rodata	Enemy	@1666	803A02F8	20	80382230	20	80379C98	20	80372608	20
@1667	.rodata	Enemy	@1667	803A030C	16	80382244	16	80379CAC	16	8037261C	16
@1669	.rodata	Enemy	@1669	803A031C	16	80382254	16	80379CBC	16	8037262C	16
@1671	.rodata	Enemy	@1671	803A032C	14	80382264	14	80379CCC	14	8037263C	14
@1672	.rodata	Enemy	@1672	803A033C	16	80382274	16	80379CDC	16	8037264C	16
@1673	.rodata	Enemy	@1673	803A034C	21	80382284	21	80379CEC	21	8037265C	21
@1674	.rodata	Enemy	@1674	803A0364	22	8038229C	22	80379D04	22	80372674	22
@1675	.rodata	Enemy	@1675	803A037C	18	803822B4	18	80379D1C	18	8037268C	18
@1676	.rodata	Enemy	@1676	803A0390	18	803822C8	18	80379D30	18	803726A0	18
@1677	.rodata	Enemy	@1677	803A03A4	19	803822DC	19	80379D44	19	803726B4	19
@1678	.rodata	Enemy	@1678	803A03B8	17	803822F0	17	80379D58	17	803726C8	17
@1679	.rodata	Enemy	@1679	803A03CC	23	80382304	23	80379D6C	23	803726DC	23
@1681	.rodata	Enemy	@1681	803A03E4	19	8038231C	19	80379D84	19	803726F4	19
@1682	.rodata	Enemy	@1682	803A03F8	17	80382330	17	80379D98	17	80372708	17
@1684	.rodata	Enemy	@1684	803A040C	17	80382344	17	80379DAC	17	8037271C	17
@1686	.rodata	Enemy	@1686	803A0420	21	80382358	21	80379DC0	21	80372730	21
@1687	.rodata	Enemy	@1687	803A0438	13	80382370	13	80379DD8	13	80372748	13
@1778	.rodata	Enemy	@1778	803A0448	15	80382380	15	80379DE8	15	80372758	15
@1780	.rodata	Enemy	@1780	803A0458	18	80382390	18	80379DF8	18	80372768	18
@1782	.rodata	Enemy	@1782	803A046C	18	803823A4	18	80379E0C	18	8037277C	18
@1784	.rodata	Enemy	@1784	803A0480	20	803823B8	20	80379E20	20	80372790	20
@1786	.rodata	Enemy	@1786	803A0494	20	803823CC	20	80379E34	20	803727A4	20
@1788	.rodata	Enemy	@1788	803A04A8	20	803823E0	20	80379E48	20	803727B8	20
@1790	.rodata	Enemy	@1790	803A04BC	20	803823F4	20	80379E5C	20	803727CC	20
@1792	.rodata	Enemy	@1792	803A04D0	18	80382408	18	80379E70	18	803727E0	18
@1793	.rodata	Enemy	@1793	803A04E4	20	8038241C	20	80379E84	20	803727F4	20
@1795	.rodata	Enemy	@1795	803A04F8	20	80382430	20	80379E98	20	80372808	20
@1797	.rodata	Enemy	@1797	803A050C	20	80382444	20	80379EAC	20	8037281C	20
@1798	.rodata	Enemy	@1798	803A0520	20	80382458	20	80379EC0	20	80372830	20
@1799	.rodata	Enemy	@1799	803A0534	18	8038246C	18	80379ED4	18	80372844	18
@1801	.rodata	Enemy	@1801	803A0548	20	80382480	20	80379EE8	20	80372858	20
@1802	.rodata	Enemy	@1802	803A055C	20	80382494	20	80379EFC	20	8037286C	20
@1803	.rodata	Enemy	@1803	803A0570	20	803824A8	20	80379F10	20	80372880	20
@1805	.rodata	Enemy	@1805	803A0584	20	803824BC	20	80379F24	20	80372894	20
@1806	.rodata	Enemy	@1806	803A0598	14	803824D0	14	80379F38	14	803728A8	14
@1808	.rodata	Enemy	@1808	803A05A8	14	803824E0	14	80379F48	14	803728B8	14
@1810	.rodata	Enemy	@1810	803A05B8	18	803824F0	18	80379F58	18	803728C8	18
@1812	.rodata	Enemy	@1812	803A05CC	18	80382504	18	80379F6C	18	803728DC	18
@1814	.rodata	Enemy	@1814	803A05E0	22	80382518	22	80379F80	22	803728F0	22
@1816	.rodata	Enemy	@1816	803A05F8	22	80382530	22	80379F98	22	80372908	22
@1818	.rodata	Enemy	@1818	803A0610	21	80382548	21	80379FB0	21	80372920	21
@1820	.rodata	Enemy	@1820	803A0628	23	80382560	23	80379FC8	23	80372938	23
@1821	.rodata	Enemy	@1821	803A0640	22	80382578	22	80379FE0	22	80372950	22
@1822	.rodata	Enemy	@1822	803A0658	20	80382590	20	80379FF8	20	80372968	20
@1824	.rodata	Enemy	@1824	803A066C	19	803825A4	19	8037A00C	19	8037297C	19
@1825	.rodata	Enemy	@1825	803A0680	21	803825B8	21	8037A020	21	80372990	21
@1490	.rodata	Enemy	@1490	803A0698	12	803825D0	12	8037A038	12	803729A8	12
@2351	.rodata	Enemy	@2351	803A06A4	20	803825DC	20	8037A044	20	803729B4	20
@2557	.rodata	Enemy	@2557	803A06B8	47	803825F0	47	8037A058	47	803729C8	47
@2558	.rodata	Enemy	@2558	803A06E8	53	80382620	53	8037A088	53	803729F8	53
@2559	.rodata	Enemy	@2559	803A0720	49	80382658	49	8037A0C0	49	80372A30	49
@2560	.rodata	Enemy	@2560	803A0754	36	8038268C	36	8037A0F4	36	80372A64	36
@2792	.rodata	Enemy	@2792	803A0778	45						
@2793	.rodata	Enemy	@2793	803A07A8	36						
@2794	.rodata	Enemy	@2794	803A07CC	41	803826B0	45	8037A118	45	80372A88	45
@2795	.rodata	Enemy	@2795	803A07F8	41	803826E0	36	8037A148	36	80372AB8	36
@2796	.rodata	Enemy	@2796	803A0824	42	80382704	41	8037A16C	41	80372ADC	41
@2797	.rodata	Enemy	@2797	803A0850	42	80382730	41	8037A198	41	80372B08	41
@2821	.rodata	Enemy	@2821	803A087C	19						
@4244	.rodata	Enemy	@4244	803A0890	17						
@4245	.rodata	Enemy	@4245	803A08A4	11						
@4367	.rodata	Enemy	@4367	803A08B0	19						
@4368	.rodata	Enemy	@4368	803A08C4	13						
@4370	.rodata	Enemy	@4370	803A08D4	15						
@1490	.rodata	Enemy	@1490	803A08E8	12	80382820	12	8037A288	12	80372BF8	12
@2111	.rodata	Enemy	@2111	803A08F4	20	8038282C	20	8037A294	20	80372C04	20
@2197	.rodata	Enemy	@2197	803A0908	47	80382840	47	8037A2A8	47	80372C18	47
@2198	.rodata	Enemy	@2198	803A0938	53	80382870	53	8037A2D8	53	80372C48	53
@2199	.rodata	Enemy	@2199	803A0970	49	803828A8	49	8037A310	49	80372C80	49
@2200	.rodata	Enemy	@2200	803A09A4	36	803828DC	36	8037A344	36	80372CB4	36
@2930	.rodata	Enemy	@2930	803A09C8	46						
